AAR2
MAGOH2
MAK16
MAP3K7
MAPK1IP1L
MAPRE1
MARCH5
MARS
MAT2B
MATR3
MBD1
MCM10
MCM2
MCM3
MCM4
MCM7
MCMBP
MCRS1
MDM4
MDN1
MEA1
MEAF6
MED1
MED13
MED27
MED28
MED29
MED8
MELK
MESDC2
METAP2
METTL13
METTL16
MGA
MGEA5
MIER1
MIR6797
MIR6850
MIS18BP1
MKLN1
MLF2
MLX
MMADHC
MMS19
MMS22L
MOB1A
MPHOSPH10
MPHOSPH8
MRPL16
MRPL19
MRPL2
MRPL20
MRPL22
MRPL30
MRPL44
MRPL49
MRPL50
MRPL53
MRPL55
MRPL57
MRPS14
MRPS18B
MRPS21
MRPS25
MRPS30
MRPS7
MRRF
MRTO4
MTCH1
MTF2
MTMR9
MTO1
MTOR
MYEOV2
NAA50
NACA
NACA2
NAE1
NAMPT
NANS
NAPA
NARF
NARS2
NASP
NAT10
NCAPD2
NCAPD3
NCAPG
NCAPH
NCAPH2
NCBP1
NCBP2
NCL
NDFIP2
NDRG3
NDUFA13
NDUFA2
NDUFA6
NDUFAF1
NDUFAF5
NDUFAF7
NDUFB11
NDUFB6
NECAP2
NELFA
NFRKB
NFYC
NGLY1
NHP2L1
NIFK
NIPA2
NIPBL
NKTR
NME6
NMT1
NOB1
NOC2L
NOC3L
NOL10
NOL8
NOLC1
NOP10
NOP16
NOP2
NOP56
NOP58
NPM1
NRAS
NRBP1
NSA2
NSD1
NSFL1C
NSL1
NSMCE2
NSRP1
NSUN4
NTMT1
NUDC
NUDCD2
NUDT21
NUF2
NUP133
NUP155
NUP214
NUP43
NUP62
NUP85
NUP93
NUPL1
NXT1
OFD1
OGFOD1
OIP5
OPA1
ORC1
ORC4
ORC6
OTUB1
OXSR1
PAF1
PAFAH1B1
PAIP2
PAK1IP1
PARN
PARPBP
PATL1
PCBP1
PCBP2
PCF11
PCID2
PCM1
PCMT1
PCNT
PDAP1
PDCD10
PDCD11
PDE12
PDPK1
PDS5B
PET100
PFDN2
PFN1
PHF20
PHF3
PHF5A
PHIP
PIGY.PYURF
PINX1
PIP4K2C
PIPSL
PKN2
PLA2G12A
PLEKHB2
PLRG1
PMM2
PNO1
PNRC2
POLDIP3
POLE
POLR1A
POLR1D
POLR2B
POLR2D
POLR2E
POLR2F
POLR2J
POLR2L
POLR3A
POLR3F
POLR3H
POLR3K
POM121C
POMP
POP1
POP7
POU2F1
PPAT
PPHLN1
PPM1A
PPP1CA
PPP2CB
PPP2R2A
PPP6C
PPP6R3
PRC1
PRCC
PRKAR1A
PRKRA
PRMT1
PRPF3
PRPF31
PRPF38B
PRPF4
PRPF40A
PRPF4B
PRPF6
PRPF8
PRR14L
PRRC1
PSMA6
PSMB3
PSMB4
PSMB6
PSMC4
PSMC5
PSMD10
PSMD2
PSMD4
PSMD8
PSME3
PSMG1
PTCD3
PTMA
PTPN1
PTRH2
PWP2
QRICH1
QTRTD1
RAB10
RAB1A
RAB35
RAB5C
RAB7A
RAD1
RAD21
RAD51AP1
RAF1
RALGAPB
RAN
RANBP1
RANBP2
RANBP3
RBBP4
RBM14
RBM17
RBM18
RBM22
RBM23
RBM25
RBM27
RBM28
RBM3
RBM34
RBM4
RBM5
RBM6
RBMX
RBPJ
RBX1
RCL1
RDX
REV3L
RFC2
RFC4
RHOA
RIF1
RIOK1
RIOK3
RMDN3
RNASEH1
RNASEH2C
RNF10
RNF111
RNF181
RNF2
RNF216
RNF38
RNF8
RNGTT
RNMT
RNMTL1
RNPS1
RPA2
RPA3
RPAP3
RPE
RPL10
RPL10A
RPL15
RPL18
RPL18A
RPL26
RPL28
RPL30
RPL35
RPL36
RPL37
RPL38
RPL41
RPL6
RPL7A
RPL8
RPLP0
RPP21
RPP30
RPRD1A
RPRD1B
RPS10
RPS13
RPS14P3
RPS15
RPS16
RPS18
RPS19
RPS20
RPS21
RPS24
RPS25
RPS27
RPS3A
RPS5
RPS6
RPS7
RPUSD4
RQCD1
RREB1
RRP15
RRP1B
RRP9
RSBN1
RSL1D1
RSL24D1
RTFDC1
SAFB
SAFB2
SAP18
SAP30BP
SAR1A
SAR1B
SARNP
SARS
SART3
SBDS
SCAF11
SCAF4
SCO1
SDAD1
SEC13
SEC22B
SEC23B
SEC24C
SEC61A1
SEC61B
SEC61G
SEC62
SECISBP2
SEH1L
SELK
SENP6
SEP15
SEPT2
SEPT7
SET
SETD2
SF1
SF3A3
SF3B1
SF3B2
SF3B4
SF3B5
SF3B6
SH3GLB1
SHCBP1
SIVA1
SKA1
SKA3
SKIV2L2
SLC25A36
SLC35E1
SLC39A9
SLC3A2
SLC4A1AP
SMAD2
SMARCA5
SMARCB1
SMC2
SMC3
SMC5
SMG1
SMU1
SNHG1
SNHG16
SNHG3
SNHG8
SNRNP200
SNRNP25
SNRNP27
SNRNP40
SNRPA1
SNRPB
SNRPB2
SNRPD3
SNRPE
SNRPF
SNRPG
SNW1
SNX1
SON
SP3
SPCS2
SPECC1
SPIN1
SPINT2
SRA1
SRFBP1
SRP14
SRP54
SRP72
SRPK1
SRPR
SRRM1
SRRT
SRSF1
SRSF10.UID_1003
SRSF11
SRSF2
SRSF3
SRSF4
SRSF6
SRSF7
SS18
SSR1
SSR4
STAMBP
STARD7
STAU1
STIP1
STOML2
STRAP
STRBP
STX18
STX3
STYX
SUDS3
SUGT1
SUMO1
SUMO2
SUPT16H
SUPT6H
SUPV3L1
SURF6
SUV39H2
SWAP70
SYAP1
SYF2
SYPL1
SZRD1
TAF1D
TARDBP
TBRG1
TCEB3
TCERG1
TCOF1
TDP2
TEX10
TFAM
THOC2
THOC3
THRAP3
TIA1
TIMM17A
TIMM23
TIMM44
TIMMDC1
TM9SF2
TMA7
TMBIM6
TMEM126A
TMEM199
TMEM208
TMEM242
TMEM50A
TMEM59
TMEM69
TMEM87A
TMEM9
TMOD3
TMPO
TMX1
TNPO1
TNRC6A
TOE1
TOLLIP
TOPBP1
TP53RK
TPD52L2
TPM3
TPT1
TPX2
TRA2B
TRAPPC1
TRAPPC8
TRIAP1
TRIM13
TRIM27
TRIML2
TRIP11
TRMT6
TRNAU1AP
TSG101
TSN
TSNAX
TSR1
TTC1
TTLL4
TUBB4B
TUG1
TUSC2
TWF1
TWISTNB
TXN2
TXNDC9
TYW1
U2AF1
U2SURP
UBA52
UBA6
UBAP1
UBAP2L
UBB
UBE2D3
UBE2K
UBE2L3
UBE2T
UBE3A
UBE3C
UBE4A
UBE4B
UBIAD1
UBL7
UBQLN1
UBR1
UBR2
UBXN4
UGGT1
UPF2
URB1
UROD
USP10
USP24
USP36
USP37
USP8
UTP11L
UTP18
UTP20
UTP23
UTP6
UXS1
UXT
VAMP3
VAPA
VIMP
VKORC1L1
VMP1
VPS26A
VPS72
VTA1
VTI1A
WAC
WAPAL
WBP11
WBP4
WBSCR22
WDR12
WDR3
WDR43
WDR46
WDR61
WDR73
WDR74
WDR75
WDR82
WSB1
XPO1
XPO5
XRCC6
XRN2
YBX1
YIPF5
YLPM1
YME1L1
YTHDC1
YTHDF2
YWHAB
YWHAE
ZBTB40
ZBTB43
ZC3H13
ZC3H14
ZC3H15
ZC3HC1
ZCCHC17
ZCCHC8
ZCCHC9
ZCRB1
ZDHHC3
ZDHHC5
ZFAND6
ZFR
ZFYVE20
ZMAT2
ZMPSTE24
ZMYM2
ZNF207
ZNF24
ZNF271
ZNF286A
ZNF320
ZNF43
ZNF468
ZNF518A
ZNF638
ZNF738
ZNF850
ZNHIT1
ZRANB2
ZSWIM7
